[2026-08-28 10:10:35] ,-1,0,0,18
[2026-08-28 10:10:35] ms,energy,r1600,r2000,r2400,r280ms,energy,r1600,r2000,r2400,r2800,best,tone,armed,move,dropped
[2026-08-28 10:10:39] 2496,1,0.005,0.005,0.005,0.005,1,-1,0,0,12
[2026-08-28 10:10:39] 2521,0,0.000,0.000,0.000,0.000,-1,-1,0,0,12
[2026-08-28 10:10:40] 2552,4,0.006,0.002,0.003,0.000,0,-1,0,0,12
[2026-08-28 10:10:40] 2577,0,0.000,0.000,0.000,0.000,-1,-1,0,0,13
[2026-08-28 10:10:40] 2601,0,0.000,0.000,0.000,0.000,-1,-1,0,0,13
[2026-08-28 10:10:40] 2631,1,0.005,0.005,0.005,0.005,1,-1,0,0,13
[2026-08-28 10:10:40] 2661,1,0.005,0.005,0.005,0.005,3,-1,0,0,13
[2026-08-28 10:10:40] 2688,1,0.005,0.005,0.005,0.005,3,-1,0,0,13
[2026-08-28 10:10:40] 2712,0,0.000,0.000,0.000,0.000,-1,-1,0,0,13
[2026-08-28 10:10:40] 2743,2,0.007,0.010,0.007,0.001,1,-1,0,0,13
[2026-08-28 10:10:40] 2771,1,0.005,0.005,0.005,0.005,3,-1,0,0,13
[2026-08-28 10:10:40] 2802,9,0.001,0.007,0.003,0.001,1,-1,0,0,13
[2026-08-28 10:10:40] 2831,1,0.005,0.005,0.005,0.005,1,-1,0,0,14
[2026-08-28 10:10:40] 2860,2,0.007,0.005,0.003,0.002,0,-1,0,0,14
[2026-08-28 10:10:40] 2891,5,0.004,0.005,0.003,0.008,3,-1,0,0,14
[2026-08-28 10:10:40] 2920,4,0.001,0.005,0.001,0.001,1,-1,0,0,14
[2026-08-28 10:10:40] 2945,0,0.000,0.000,0.000,0.000,-1,-1,0,0,14
[2026-08-28 10:10:40] 2969,0,0.000,0.000,0.000,0.000,-1,-1,0,0,14
[2026-08-28 10:10:40] 3000,2,0.007,0.005,0.003,0.008,3,-1,0,0,14
[2026-08-28 10:10:40] 3028,1,0.005,0.005,0.005,0.005,3,-1,0,0,15
[2026-08-28 10:10:40] 3053,0,0.000,0.000,0.000,0.000,-1,-1,0,0,15
[2026-08-28 10:10:40] 3085,1,0.005,0.005,0.005,0.005,1,-1,0,0,15
[2026-08-28 10:10:40] 3109,0,0.000,0.000,0.000,0.000,-1,-1,0,0,15
[2026-08-28 10:10:40] 3134,0,0.000,0.000,0.000,0.000,-1,-1,0,0,15
[2026-08-28 10:10:40] 3163,1,0.005,0.005,0.005,0.005,3,-1,0,0,15
[2026-08-28 10:10:40] 3194,1,0.005,0.005,0.005,0.005,1,-1,0,0,15
[2026-08-28 10:10:40] 3219,0,0.000,0.000,0.000,0.000,-1,-1,0,0,15
[2026-08-28 10:10:40] 3244,0,0.000,0.000,0.000,0.000,-1,-1,0,0,15
[2026-08-28 10:10:40] 3272,2,0.001,0.010,0.001,0.007,1,-1,0,0,15
[2026-08-28 10:10:40] 3298,1,0.005,0.005,0.005,0.005,1,-1,0,0,16
[2026-08-28 10:10:40] 3329,2,0.010,0.005,0.000,0.005,0,-1,0,0,16
[2026-08-28 10:10:40] 3353,0,0.000,0.000,0.000,0.000,-1,-1,0,0,16
[2026-08-28 10:10:40] 3384,4,0.006,0.000,0.011,0.005,2,-1,0,0,16
[2026-08-28 10:10:40] 3409,0,0.000,0.000,0.000,0.000,-1,-1,0,0,16
[2026-08-28 10:10:40] 3440,3,0.001,0.008,0.011,0.002,2,-1,0,0,16
[2026-08-28 10:10:40] 3469,2,0.007,0.005,0.003,0.002,0,-1,0,0,16
[2026-08-28 10:10:40] 3499,5,0.001,0.005,0.003,0.006,3,-1,0,0,16
[2026-08-28 10:10:40] 3523,0,0.000,0.000,0.000,0.000,-1,-1,0,0,17
[2026-08-28 10:10:41] 3552,2,0.007,0.000,0.007,0.009,3,-1,0,0,17
[2026-08-28 10:10:41] 3584,1,0.005,0.005,0.005,0.005,1,-1,0,0,17
[2026-08-28 10:10:41] 3612,1,0.005,0.005,0.005,0.005,3,-1,0,0,17
[2026-08-28 10:10:41] 3643,2,0.001,0.010,0.001,0.007,1,-1,0,0,17
[2026-08-28 10:10:41] 3672,1,0.005,0.005,0.005,0.005,1,-1,0,0,17
[2026-08-28 10:10:41] 3702,1,0.005,0.005,0.005,0.005,1,-1,0,0,18
[2026-08-28 10:10:41] 3734,1,0.005,0.005,0.005,0.005,1,-1,0,0,18
[2026-08-28 10:10:41] 3759,0,0.000,0.000,0.000,0.000,-1,-1,0,0,18
[2026-08-28 10:10:41] 3790,1,0.005,0.005,0.005,0.005,1,-1,0,0,18
[2026-08-28 10:10:41] 3815,0,0.000,0.000,0.000,0.000,-1,-1,0,0,18
[2026-08-28 10:10:41] 3846,1,0.005,0.005,0.005,0.005,1,-1,0,0,18
[2026-08-28 10:10:41] 3874,1,0.005,0.005,0.005,0.005,3,-1,0,0,18
[2026-08-28 10:10:41] 3901,1,0.005,0.005,0.005,0.005,3,-1,0,0,19
[2026-08-28 10:10:41] 3926,1,0.005,0.005,0.005,0.005,1,-1,0,0,19
[2026-08-28 10:10:41] 3955,1,0.005,0.005,0.005,0.005,3,-1,0,0,19
[2026-08-28 10:10:41] 3980,0,0.000,0.000,0.000,0.000,-1,-1,0,0,19
[2026-08-28 10:10:41] 4008,2,0.010,0.005,0.000,0.005,0,-1,0,0,19
[2026-08-28 10:10:41] 4039,2,0.001,0.000,0.001,0.003,3,-1,0,0,19
[2026-08-28 10:10:41] 4069,2,0.007,0.005,0.003,0.002,0,-1,0,0,19
[2026-08-28 10:10:41] 4100,5,0.013,0.017,0.013,0.008,1,-1,0,0,19
[2026-08-28 10:10:41] 4127,6,0.004,0.000,0.008,0.004,2,-1,0,0,20
[2026-08-28 10:10:41] 4152,0,0.000,0.000,0.000,0.000,-1,-1,0,0,20
[2026-08-28 10:10:41] 4177,0,0.000,0.000,0.000,0.000,-1,-1,0,0,20
[2026-08-28 10:10:41] 4202,0,0.000,0.000,0.000,0.000,-1,-1,0,0,20
[2026-08-28 10:10:41] 4233,4,0.000,0.003,0.007,0.004,2,-1,0,0,20
